"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","SEX","SEX_NAME","SEX_CODE","SEX_TYPE","SEX_TYPECODE","SEX_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1981","1981","1981","date",0,0,"2013265929","South West","E12000009","regions",480,8,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265929d7d24d20100",49,3168
"1981","1981","1981","date",0,0,"2013265929","South West","E12000009","regions",480,8,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265929d7d22d20100",50,3168
"1981","1981","1981","date",0,0,"2013265929","South West","E12000009","regions",480,8,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",781140,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265929d7d25d20100",51,3168
"1981","1981","1981","date",0,0,"2013265929","South West","E12000009","regions",480,8,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265929d7d20d20100",52,3168
"1981","1981","1981","date",0,0,"2013265929","South West","E12000009","regions",480,8,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265929d7d21d20100",53,3168
"1981","1981","1981","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",2813495,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265930d7d0d20100",54,3168
"1981","1981","1981","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265930d7d24d20100",55,3168
"1981","1981","1981","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265930d7d22d20100",56,3168
"1981","1981","1981","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",440480,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265930d7d25d20100",57,3168
"1981","1981","1981","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265930d7d20d20100",58,3168
"1981","1981","1981","date",0,0,"2013265930","Wales","W92000004","regions",480,9,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265930d7d21d20100",59,3168
"1981","1981","1981","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",5180200,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265931d7d0d20100",60,3168
"1981","1981","1981","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265931d7d24d20100",61,3168
"1981","1981","1981","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265931d7d22d20100",62,3168
"1981","1981","1981","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",739859,"A","Normal Value","F","Free (free for publication)","Nm-31d1d31696e0d2013265931d7d25d20100",63,3168
"1981","1981","1981","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265931d7d20d20100",64,3168
"1981","1981","1981","date",0,0,"2013265931","Scotland","S92000003","regions",480,10,"7","Total","7","sex",0,0,"21","Aged 18 - 24","21","age",0,5,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265931d7d21d20100",65,3168
"1981","1981","1981","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"7","Total","7","sex",0,0,"0","All ages","0","age",0,0,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265932d7d0d20100",66,3168
"1981","1981","1981","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"7","Total","7","sex",0,0,"24","Aged 0 - 15","24","age",0,1,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265932d7d24d20100",67,3168
"1981","1981","1981","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"7","Total","7","sex",0,0,"22","Aged 16 - 64","22","age",0,2,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265932d7d22d20100",68,3168
"1981","1981","1981","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"7","Total","7","sex",0,0,"25","Aged 65 and over","25","age",0,3,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265932d7d25d20100",69,3168
"1981","1981","1981","date",0,0,"2013265932","Northern Ireland","N92000002","regions",480,11,"7","Total","7","sex",0,0,"20","Aged 16 - 59/64","20","age",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-31d1d31696e0d2013265932d7d20d20100",70,3168
