"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","COMPONENT_OF_GDHI","COMPONENT_OF_GDHI_NAME","COMPONENT_OF_GDHI_CODE","COMPONENT_OF_GDHI_TYPE","COMPONENT_OF_GDHI_TYPECODE","COMPONENT_OF_GDHI_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1998","1998","1998","date",0,1,"2013265926","East","E12000006","regions",480,5,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",11340,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265926d0d2d20100",35,624
"1998","1998","1998","date",0,1,"2013265927","London","E12000007","regions",480,6,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",94173,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265927d0d1d20100",36,624
"1998","1998","1998","date",0,1,"2013265927","London","E12000007","regions",480,6,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",13329,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265927d0d2d20100",37,624
"1998","1998","1998","date",0,1,"2013265928","South East","E12000008","regions",480,7,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",101808,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265928d0d1d20100",38,624
"1998","1998","1998","date",0,1,"2013265928","South East","E12000008","regions",480,7,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",12905,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265928d0d2d20100",39,624
"1998","1998","1998","date",0,1,"2013265929","South West","E12000009","regions",480,8,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",53962,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265929d0d1d20100",40,624
"1998","1998","1998","date",0,1,"2013265929","South West","E12000009","regions",480,8,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",11127,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265929d0d2d20100",41,624
"1998","1998","1998","date",0,1,"2013265930","Wales","W92000004","regions",480,9,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",26957,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265930d0d1d20100",42,624
"1998","1998","1998","date",0,1,"2013265930","Wales","W92000004","regions",480,9,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9297,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265930d0d2d20100",43,624
"1998","1998","1998","date",0,1,"2013265931","Scotland","S92000003","regions",480,10,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",49714,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265931d0d1d20100",44,624
"1998","1998","1998","date",0,1,"2013265931","Scotland","S92000003","regions",480,10,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9792,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265931d0d2d20100",45,624
"1998","1998","1998","date",0,1,"2013265932","Northern Ireland","N92000002","regions",480,11,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",14413,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265932d0d1d20100",46,624
