region,region_code,metric,year,value,source,data_type,ci_lower,ci_upper,method,quality_metrics
East,E12000006,gdhi_total_mn_gbp,2001,70247.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2001,15765.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2001,115438.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2001,14504.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2001,116375.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2001,12423.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2001,61409.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2001,9641.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2001,16281.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2001,11286.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2001,57157.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2001,10702.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2001,31146.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2002,10631.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2002,27009.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2002,11383.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2002,77236.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2002,11264.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2002,56320.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2002,11384.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2002,48059.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2002,11486.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2002,60892.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2002,13333.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2002,72434.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2002,15982.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2002,117894.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2002,14840.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2002,119391.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2002,12597.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2002,62686.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2002,10173.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2002,17269.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2002,11689.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2002,59216.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2002,10993.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2002,32132.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2003,10962.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2003,27848.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2003,11768.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2003,80195.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2003,11618.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2003,58397.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2003,11856.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2003,50446.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2003,11780.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2003,62735.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2003,13598.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2003,74438.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2003,16664.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2003,123224.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2003,15047.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2003,121701.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2003,12930.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2003,64734.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2003,10643.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2003,18145.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2003,12081.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2003,61232.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2003,11404.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2003,33503.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2004,11470.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2004,29140.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2004,12215.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2004,83555.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2004,12004.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2004,60779.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2004,12309.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2004,52822.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2004,12190.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2004,65175.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2004,14026.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2004,77263.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2004,17569.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2004,130588.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2004,15627.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2004,127094.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2004,13396.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2004,67495.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2004,11241.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2004,19267.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2004,12664.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2004,64389.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2004,11868.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2004,35098.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2005,11697.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2005,29795.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2005,12598.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2005,86551.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2005,12302.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2005,62844.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2005,12643.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2005,54733.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2005,12391.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2005,66673.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2005,14532.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2005,80835.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2005,18587.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2005,139759.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2005,16185.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2005,132765.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2005,13901.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2005,70703.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2005,11814.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2005,20412.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2005,13089.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2005,66887.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2005,12162.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2005,36114.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2006,12121.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2006,30941.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2006,13014.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2006,89819.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2006,12729.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2006,65350.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2006,13052.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2006,56995.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2006,12852.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2006,69601.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2006,14977.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2006,83967.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2006,19521.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2006,148319.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2006,16918.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2006,139927.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2006,14614.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2006,74819.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2006,12403.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2006,21619.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2006,13704.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2006,70345.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2006,12545.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2006,37456.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2007,12434.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2007,31856.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2007,13531.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2007,93757.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2007,13247.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2007,68412.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2007,13803.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2007,60800.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2007,13201.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2007,71970.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2007,15609.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2007,88245.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2007,20924.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2007,160976.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2007,17730.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2007,148072.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2007,15134.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2007,78253.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2007,12659.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2007,22301.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2007,14415.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2007,74527.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2007,12912.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2007,38819.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2008,12721.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2008,32683.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2008,13756.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2008,95724.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2008,13417.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2008,69752.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2008,13968.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2008,62035.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2008,13548.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2008,74461.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2008,16119.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2008,92015.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2008,21540.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2008,168277.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2008,18086.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2008,152399.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2008,15612.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2008,81260.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2008,12869.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2008,22896.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2008,15021.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2008,78150.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2008,13440.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2008,40667.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2009,13291.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2009,34230.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2009,14260.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2009,99623.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2009,13784.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2009,72000.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2009,14199.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2009,63492.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2009,13873.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2009,76687.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2009,16536.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2009,95104.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2009,21431.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2009,170218.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2009,18443.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2009,156600.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2009,15699.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2009,82058.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_per_head_gbp,2009,13041.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2009,23387.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2009,15214.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2009,79598.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2009,13456.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2009,40892.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2010,13509.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2010,34945.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2010,14378.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2010,100933.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2010,13841.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2010,72733.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2010,14221.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2010,64096.0,income,historical,,,,
West Midlands,E12000005,gdhi_per_head_gbp,2010,14012.0,income,historical,,,,
West Midlands,E12000005,gdhi_total_mn_gbp,2010,77988.0,income,historical,,,,
East,E12000006,gdhi_per_head_gbp,2010,16657.0,income,historical,,,,
East,E12000006,gdhi_total_mn_gbp,2010,96736.0,income,historical,,,,
London,E12000007,gdhi_per_head_gbp,2010,21575.0,income,historical,,,,
London,E12000007,gdhi_total_mn_gbp,2010,173927.0,income,historical,,,,
South East,E12000008,gdhi_per_head_gbp,2010,18484.0,income,historical,,,,
South East,E12000008,gdhi_total_mn_gbp,2010,158556.0,income,historical,,,,
South West,E12000009,gdhi_per_head_gbp,2010,16065.0,income,historical,,,,
South West,E12000009,gdhi_total_mn_gbp,2010,84524.0,income,historical,,,,
