region,region_code,metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
North East,TLC,nominal_gva_mn_gbp,,28817.0,29252.0,30140.0,31410.0,33536.0,35461.0,38415.0,40232.0,42379.0,43248.0,44424.0,44217.0,44838.0,45621.0,46772.0,47447.0,48865.0,50570.0,51319.0,52719.0,53545.0,56060.0,52695.0,57240.0,62364.0,68891.0,67387.33414026539,69688.99386054286,72069.26831659417,74530.84264759382,77076.49370545034,79709.09318731725,82431.6108750953
North East,TLC,productivity_gbp_per_job,,,,,,,,,,,,,43692.687747035576,44350.14836795252,45348.906560636184,46725.27472527473,47164.01590457257,47258.22050290136,47572.90686735654,49487.94599807136,49547.93233082707,50898.28897338403,52392.52336448598,50668.269230769234,52658.69365225391,58338.63423760524,62514.51905626134,61573.885538922885,63263.799143136166,64947.376385729396,67054.85814293673,68695.49189513954,70714.6246216299,72349.23392236297
North West,E12000002,gdhi_per_head_gbp,9608.0,9752.0,10261.0,10710.0,11091.0,11383.0,11768.0,12215.0,12598.0,13014.0,13531.0,13756.0,14260.0,14378.0,14506.0,14972.0,15427.0,15828.0,16551.0,16664.0,17108.0,17629.0,18229.0,18372.0,18805.0,19752.0,20345.451937263188,20904.352139436935,21477.570416748116,22065.46082453566,22668.38610502964,23286.717900271404,23920.836970238128,24571.1334163001
North West,E12000002,gdhi_total_mn_gbp,65278.0,66235.0,69497.0,72551.0,75120.0,77236.0,80195.0,83555.0,86551.0,89819.0,93757.0,95724.0,99623.0,100933.0,102352.0,105992.0,109608.0,113028.0,118881.0,120551.0,124473.0,128977.0,134222.0,135598.0,139613.0,148447.0,151891.18234812035,156836.15310943872,161942.11238537836,167214.30131953568,172658.1316862266,178279.19144554457,184083.2504792624,190076.26651347865
North West,TLD,chained_gva_mn_gbp,,138875.0,144432.0,147486.0,153660.0,157217.0,162190.0,167715.0,172129.0,178202.0,181147.0,179128.0,172853.0,176810.0,176037.0,179724.0,182560.0,187866.0,193054.0,195924.0,202563.0,204476.0,209462.0,192257.0,209825.0,221845.0,223858.0,224164.30647812883,227890.70979229582,231679.059104369,235530.38417584702,239445.73188650285,243426.16651895427,247472.7700479581
North West,TLD,emp_total_jobs,,,,,,,,,,,,,3012000.0,2980000.0,2977000.0,2987000.0,3017000.0,3086000.0,3162000.0,3246000.0,3298000.0,3328000.0,3406000.0,3316000.0,3439000.0,3485000.0,3555000.0,3581855.2568739792,3630742.2107818257,3680296.398313309,3730526.9262070023,3781443.025494785,3833054.053198302,3885369.494048515
North West,TLD,nominal_gva_mn_gbp,,88083.0,92290.0,94655.0,100553.0,105245.0,111059.0,117278.0,123348.0,130397.0,135269.0,138451.0,137614.0,140494.0,141439.0,145795.0,150838.0,156789.0,162866.0,168631.0,176803.0,181321.0,190043.0,185588.0,199341.0,221845.0,243386.0,239999.84146082404,241599.1936590918,251325.30707317608,261456.1141312468,272009.05999879184,283002.37036173255,294455.0877184771
North West,TLD,productivity_gbp_per_job,,,,,,,,,,,,,45688.579017264274,47145.63758389262,47510.58112193483,48809.84265148979,49996.022538945974,50806.54569021387,51507.27387729285,51950.400492914356,53609.15706488781,54483.473557692305,55796.53552554316,55967.430639324484,57964.81535330038,63657.1018651363,68463.00984528832,67022.91645386498,66589.92458536549,68342.44278086993,70152.84441403908,71913.3215714873,73942.0747517868,75895.4189317474
Northern Ireland,N92000002,gdhi_per_head_gbp,8567.0,8590.0,8919.0,9383.0,9641.0,10173.0,10643.0,11241.0,11814.0,12403.0,12659.0,12869.0,13041.0,13226.0,13519.0,13749.0,14305.0,14760.0,15248.0,15480.0,15965.0,16347.0,16871.0,16992.0,17635.0,18685.0,19299.020995115956,19878.728664990536,20474.82685233631,21087.757312711055,21717.97332538849,22365.93998833331,23032.13452065065,23717.046572698182
Northern Ireland,N92000002,gdhi_total_mn_gbp,14318.0,14413.0,14975.0,15791.0,16281.0,17269.0,18145.0,19267.0,20412.0,21619.0,22301.0,22896.0,23387.0,23870.0,24528.0,25086.0,26203.0,27205.0,28284.0,28886.0,29937.0,30834.0,32030.0,32293.0,33587.0,35698.0,37411.94315286373,38794.611848039276,40228.38114263568,41715.139610011676,43256.84562132381,44855.52992511048,46513.2983222115,48232.33443954703
Northern Ireland,TLN,chained_gva_mn_gbp,,34512.0,35857.0,38268.0,39147.0,39405.0,41164.0,42113.0,43497.0,44772.0,44531.0,43255.0,41216.0,40655.0,41387.0,42233.0,42811.0,43702.0,44177.0,46116.0,47169.0,47460.0,49047.0,43793.0,49270.0,50701.0,51465.0,50804.379653889846,51436.50228126993,52076.48995923764,52724.44054700249,53380.45312136653,54044.62799187377,54717.06671614795
